	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000251244	8.3113310529785	-6.42063651039203	2.08997243599752	-3.07211540200411	0.00212547535370671	0.0378428339468991
ENSG00000164125	1601.57871236086	-1.6321487817376	0.544914291208655	-2.99523944970756	0.00274229473103294	0.0444344545745781
ENSG00000248771	21.4632116775095	-7.7947273930843	1.62777139166125	-4.78858851618548	1.67958476636017e-06	0.000202139641616798
ENSG00000287188	68.8165381721257	4.25229308817414	0.991461157447005	4.2889154620275	1.79547690937517e-05	0.00125292572111837
ENSG00000129116	4994.93166101609	-1.3189880461561	0.440121900186856	-2.99686983446204	0.00272767153359748	0.0443388321432114
ENSG00000137601	529.374173049914	-1.36958107575463	0.421315329363134	-3.2507269028756	0.00115110372496715	0.0255909190478962
ENSG00000237125	11.3166303853061	-6.87227238138364	1.76168674637586	-3.90096161847233	9.58113420823152e-05	0.00429828911531648
ENSG00000150628	33.5885992847211	-3.5578603960109	0.967418760730374	-3.67768389495033	0.000235361383479786	0.00820585168892687
ENSG00000218336	130.587584363639	-2.6583377438172	0.614668300360629	-4.32483299083024	1.52647463551803e-05	0.00112059353521768
ENSG00000164303	27.8792925779591	-4.58064919932481	1.46770013706033	-3.12097075121859	0.00180255936719983	0.0342623148360769
ENSG00000154553	1753.97738664792	-1.19378567350691	0.337791080043185	-3.53409472314749	0.000409174409774279	0.0125679300612019
ENSG00000109794	179.918405752696	-1.96633308071885	0.632167863091156	-3.11046036270165	0.00186795964070986	0.0350266918995431
ENSG00000083857	2428.57655951079	-1.44587480390404	0.379432037123067	-3.81062921008716	0.000138613540122113	0.00568838155717517
ENSG00000180015	22.5896949254797	-3.858386910576	0.937665511680475	-4.1148862387623	3.87370414541589e-05	0.00219390126407683
ENSG00000225138	193.440523365671	1.87788736628752	0.570507357069043	3.29160937719557	0.000996158712071592	0.0231915301911853
ENSG00000287600	9.71211880514978	-6.65181794229986	1.70704696176963	-3.89668128134225	9.75198188477548e-05	0.00435931004502829
ENSG00000153395	18572.1445792034	1.56873368548455	0.530867191215236	2.95503981305283	0.00312628704523613	0.048147096672862
ENSG00000185986	2304.29448133298	3.10980329284764	0.801671637723725	3.87914845244825	0.000104822771739938	0.00461164928816496
ENSG00000145536	158.6757862909	-5.43411565896516	1.33053770709251	-4.08415006203755	4.42384371094303e-05	0.00241794933659469
ENSG00000215217	148.433232467892	-2.67715423062641	0.733867692558443	-3.64800666083717	0.000264282788351845	0.0089281930375327
ENSG00000145491	93.6706235486529	-8.20550150680888	1.22794463136926	-6.682305779259	2.35211586788197e-11	1.20164319429978e-08
ENSG00000164236	376.968565462903	-1.89812107830146	0.589191813222683	-3.22156729897412	0.00127491516754707	0.027560407071853
ENSG00000223361	141.898045839664	2.58030540110522	0.597567229393929	4.31801690953208	1.57437371293021e-05	0.00113578931153239
ENSG00000152611	129.334611492131	-10.3856770618939	1.37207593439062	-7.56931653823267	3.75192918860037e-14	4.47247825610633e-11
